,time,temperature,humidity
275,1658857475.127548,36.5,59.6
276,1658857475.4023943,36.5,59.6
277,1658857475.6722174,36.5,59.6
278,1658857475.94706,36.5,59.6
279,1658857476.2214668,36.5,59.6
280,1658857476.491864,36.4,59.6
281,1658857476.7657104,36.5,59.6
282,1658857477.0399585,36.5,59.6
283,1658857477.3142817,36.5,59.6
284,1658857477.584668,36.5,59.6
285,1658857477.859513,36.5,59.6
286,1658857478.1338959,36.5,59.6
287,1658857478.4037445,36.5,59.6
288,1658857478.6781502,36.5,59.6
289,1658857478.9532218,36.5,59.6
290,1658857479.2276065,36.5,59.6
291,1658857479.4978867,36.5,59.6
292,1658857479.7725692,36.5,59.6
293,1658857480.0460513,36.5,59.6
294,1658857480.3174376,36.4,59.6
295,1658857480.5909336,36.5,59.6
296,1658857480.866215,36.5,59.6
297,1658857481.1365933,36.5,59.6
298,1658857481.4109702,36.5,59.5
299,1658857481.6846027,36.5,59.5
300,1658857481.9595253,36.5,59.6
301,1658857482.2299173,36.5,59.5
302,1658857482.5043225,36.5,59.6
303,1658857482.7781682,36.5,59.5
304,1658857483.0530164,36.5,59.5
305,1658857483.3234062,36.5,59.5
306,1658857483.5977933,36.5,59.5
307,1658857483.8719232,36.5,59.6
308,1658857484.1423206,36.5,59.5
309,1658857484.4171624,36.5,59.5
310,1658857484.6915574,36.5,59.5
311,1658857484.9654074,36.5,59.5
312,1658857485.2361972,36.5,59.5
313,1658857485.5106447,36.5,59.5
314,1658857485.7846842,36.5,59.5
315,1658857486.059666,36.4,59.4
316,1658857486.32913,36.5,59.5
317,1658857486.6035554,36.5,59.4
318,1658857486.8784,36.5,59.5
319,1658857487.1527772,36.4,59.4
320,1658857487.4236257,36.5,59.4
321,1658857487.698016,36.5,59.4
322,1658857487.9718626,36.5,59.4
323,1658857488.2422526,36.5,59.4
324,1658857488.5166435,36.5,59.4
325,1658857488.7914898,36.5,59.4
326,1658857489.0658877,36.5,59.4
327,1658857489.3357363,36.5,59.4
328,1658857489.6101224,36.4,59.4
329,1658857489.8849733,36.5,59.3
330,1658857490.1549046,36.5,59.3
331,1658857490.4292877,36.5,59.3
332,1658857490.7036765,36.5,59.3
333,1658857490.9745247,36.5,59.3
334,1658857491.2489147,36.5,59.3
335,1658857491.5233061,36.5,59.3
336,1658857491.7971528,36.5,59.2
337,1658857492.0675445,36.5,59.2
